epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.04,1.73435,1.07872,1.47668,0.87784,0.8213,0.88861,0.45916,1.69556,0.84668,1.49044,0.000665208,0.000665208,0.000665208
2,288.503,1.68651,0.94458,1.45709,0.84454,0.79724,0.87313,0.46086,1.62366,0.92702,1.46588,0.0013099,0.0013099,0.0013099
3,431.041,1.66476,0.91774,1.45006,0.88019,0.82265,0.88968,0.46603,1.68235,0.80304,1.47955,0.00193259,0.00193259,0.00193259
4,574.393,1.63933,0.88936,1.4304,0.89129,0.84116,0.9133,0.50272,1.57685,0.82065,1.43274,0.001901,0.001901,0.001901
5,716.975,1.61812,0.84885,1.42605,0.8827,0.83515,0.9083,0.50115,1.57124,0.79834,1.42127,0.001868,0.001868,0.001868
6,860.614,1.5927,0.81861,1.40981,0.89431,0.86114,0.92368,0.51575,1.55966,0.74707,1.41536,0.001835,0.001835,0.001835
7,1003.67,1.58194,0.8071,1.4027,0.89949,0.85259,0.91719,0.5158,1.55704,0.76989,1.41266,0.001802,0.001802,0.001802
8,1145.77,1.57512,0.79859,1.3974,0.89484,0.86468,0.92464,0.52118,1.54773,0.71906,1.40768,0.001769,0.001769,0.001769
9,1288.36,1.54771,0.77482,1.37702,0.90852,0.87171,0.93173,0.52768,1.53254,0.71158,1.40164,0.001736,0.001736,0.001736
10,1431.56,1.55711,0.7807,1.38685,0.91634,0.8699,0.93065,0.53675,1.50494,0.70262,1.39348,0.001703,0.001703,0.001703
11,1574.08,1.5377,0.75876,1.37648,0.90996,0.87659,0.93577,0.53757,1.513,0.68217,1.39429,0.00167,0.00167,0.00167
12,1717.09,1.53207,0.75415,1.37002,0.90565,0.88548,0.93553,0.53388,1.53617,0.67515,1.39718,0.001637,0.001637,0.001637
