epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.599,1.73298,1.07553,1.47618,0.84938,0.78407,0.84737,0.43048,1.73844,1.10647,1.51787,0.000665208,0.000665208,0.000665208
2,279.213,1.69165,0.94311,1.45268,0.8735,0.81784,0.8895,0.46629,1.67714,0.91705,1.48031,0.0013099,0.0013099,0.0013099
3,420.156,1.6616,0.90676,1.44132,0.87967,0.8261,0.89866,0.48498,1.63868,0.78797,1.46773,0.00193259,0.00193259,0.00193259
4,562.39,1.64574,0.88169,1.43539,0.87712,0.83377,0.90134,0.49066,1.59783,0.79598,1.42964,0.001901,0.001901,0.001901
5,705.322,1.60409,0.83783,1.4097,0.89991,0.85494,0.91763,0.50868,1.60564,0.73851,1.429,0.001868,0.001868,0.001868
6,847.138,1.59337,0.81719,1.401,0.89656,0.85484,0.91788,0.50784,1.59594,0.74759,1.44261,0.001835,0.001835,0.001835
7,987.974,1.58372,0.80774,1.39814,0.9007,0.85293,0.91931,0.52094,1.54919,0.75155,1.41107,0.001802,0.001802,0.001802
8,1129.56,1.572,0.79534,1.39316,0.90159,0.86431,0.92522,0.5253,1.5453,0.7272,1.41745,0.001769,0.001769,0.001769
9,1271.34,1.55377,0.77024,1.37951,0.90305,0.86473,0.92927,0.5312,1.53042,0.72053,1.40781,0.001736,0.001736,0.001736
10,1413.57,1.56456,0.77571,1.39312,0.90528,0.86423,0.92763,0.53043,1.52716,0.72643,1.40659,0.001703,0.001703,0.001703
11,1554.97,1.53348,0.75422,1.37028,0.90776,0.87702,0.93265,0.53379,1.53061,0.70173,1.39818,0.00167,0.00167,0.00167
12,1696.18,1.53341,0.74696,1.36922,0.89739,0.87422,0.92686,0.52727,1.53786,0.70331,1.4126,0.001637,0.001637,0.001637
13,1837.06,1.5297,0.74305,1.37249,0.90658,0.88136,0.93517,0.54103,1.52486,0.68133,1.39316,0.001604,0.001604,0.001604
14,1978.84,1.51765,0.72982,1.35674,0.91495,0.88018,0.9369,0.54701,1.50371,0.67708,1.39442,0.001571,0.001571,0.001571
15,2120.57,1.50896,0.7251,1.35385,0.91515,0.87581,0.93534,0.5425,1.5116,0.68046,1.38112,0.001538,0.001538,0.001538
16,2261.71,1.50238,0.72298,1.36025,0.91668,0.88288,0.93867,0.55141,1.49278,0.65961,1.39764,0.001505,0.001505,0.001505
17,2403.09,1.5053,0.72483,1.36412,0.91438,0.87732,0.93667,0.54822,1.49175,0.68142,1.39389,0.001472,0.001472,0.001472
18,2543.66,1.49308,0.7127,1.36185,0.91697,0.88348,0.94043,0.54777,1.50184,0.66051,1.3987,0.001439,0.001439,0.001439
19,2682.9,1.48926,0.71174,1.35884,0.91698,0.88478,0.94076,0.55583,1.49162,0.64946,1.39874,0.001406,0.001406,0.001406
20,2824.83,1.47852,0.70562,1.35003,0.91877,0.88601,0.9418,0.55733,1.48929,0.64356,1.38429,0.001373,0.001373,0.001373
21,2965.94,1.47758,0.69858,1.34703,0.91628,0.87889,0.93738,0.5494,1.49841,0.65098,1.3844,0.00134,0.00134,0.00134
22,3108.51,1.47598,0.69908,1.34828,0.91541,0.88476,0.94148,0.55245,1.49291,0.64603,1.38627,0.001307,0.001307,0.001307
23,3249.81,1.48242,0.70003,1.35274,0.91612,0.89223,0.94359,0.5568,1.47807,0.64024,1.38106,0.001274,0.001274,0.001274
24,3390.95,1.4709,0.68541,1.34376,0.91758,0.87904,0.93981,0.55706,1.47262,0.6587,1.37949,0.001241,0.001241,0.001241
25,3532.28,1.46743,0.68574,1.34217,0.91529,0.88225,0.942,0.55455,1.48807,0.64822,1.38956,0.001208,0.001208,0.001208
26,3673.43,1.45653,0.67762,1.3411,0.91224,0.89357,0.94287,0.55816,1.48086,0.64416,1.38516,0.001175,0.001175,0.001175
27,3815.07,1.46083,0.67901,1.3401,0.91525,0.89045,0.94415,0.56097,1.46506,0.64567,1.37447,0.001142,0.001142,0.001142
28,3956.84,1.45176,0.67596,1.32956,0.91875,0.89023,0.94297,0.56277,1.46493,0.63077,1.3709,0.001109,0.001109,0.001109
29,4099.09,1.44797,0.67114,1.33605,0.92139,0.88459,0.94473,0.5636,1.45834,0.63914,1.37786,0.001076,0.001076,0.001076
30,4241.64,1.44284,0.66615,1.34063,0.91735,0.88607,0.94362,0.56393,1.45721,0.63603,1.3861,0.001043,0.001043,0.001043
31,4382.92,1.44416,0.66599,1.34225,0.91577,0.88987,0.94547,0.56624,1.45589,0.63118,1.37136,0.00101,0.00101,0.00101
32,4524.24,1.43398,0.65657,1.32271,0.92084,0.89145,0.9456,0.56384,1.4681,0.61502,1.37662,0.000977,0.000977,0.000977
33,4664.53,1.43211,0.65876,1.32603,0.91756,0.88779,0.94484,0.56354,1.4623,0.62803,1.37204,0.000944,0.000944,0.000944
34,4805.61,1.42997,0.6563,1.32473,0.92176,0.89179,0.94843,0.56892,1.45168,0.6246,1.37226,0.000911,0.000911,0.000911
35,4947.36,1.42512,0.64939,1.3233,0.91968,0.88796,0.94484,0.56602,1.45587,0.62038,1.37539,0.000878,0.000878,0.000878
36,5088.8,1.42624,0.64382,1.31946,0.92065,0.89537,0.94704,0.57052,1.44904,0.61183,1.37,0.000845,0.000845,0.000845
37,5230.49,1.42023,0.64652,1.31755,0.91968,0.89455,0.94641,0.56926,1.45545,0.61065,1.38347,0.000812,0.000812,0.000812
38,5371.26,1.41337,0.63584,1.31367,0.92014,0.89464,0.94793,0.57279,1.44488,0.60301,1.36658,0.000779,0.000779,0.000779
39,5512.58,1.41684,0.64184,1.32472,0.91894,0.89207,0.94712,0.57194,1.43887,0.61794,1.3685,0.000746,0.000746,0.000746
40,5653.27,1.40217,0.6313,1.30852,0.91796,0.89317,0.94715,0.57162,1.44467,0.61112,1.36773,0.000713,0.000713,0.000713
41,5793.97,1.40294,0.63155,1.31071,0.92112,0.89338,0.94853,0.57035,1.44641,0.60774,1.36979,0.00068,0.00068,0.00068
42,5934.27,1.40992,0.63077,1.31648,0.91861,0.89906,0.94797,0.57331,1.44312,0.60016,1.38441,0.000647,0.000647,0.000647
43,6076.98,1.39553,0.62285,1.30929,0.92056,0.89317,0.94715,0.57214,1.44254,0.60376,1.38389,0.000614,0.000614,0.000614
44,6625.47,1.38984,0.6216,1.31135,0.92142,0.89549,0.94789,0.57554,1.43665,0.59901,1.37578,0.000581,0.000581,0.000581
45,6762.68,1.39011,0.61343,1.30852,0.91901,0.89753,0.9486,0.5766,1.43797,0.59971,1.37962,0.000548,0.000548,0.000548
46,6903.75,1.3893,0.61713,1.31028,0.92071,0.89769,0.94811,0.57518,1.43985,0.59818,1.38265,0.000515,0.000515,0.000515
47,7044.66,1.38526,0.61221,1.30192,0.91839,0.90055,0.94839,0.57412,1.44525,0.59531,1.37793,0.000482,0.000482,0.000482
48,7184.99,1.37438,0.60917,1.30436,0.92079,0.90243,0.95051,0.57674,1.43611,0.59228,1.38133,0.000449,0.000449,0.000449
49,7329.73,1.38056,0.60759,1.3065,0.9196,0.90268,0.94965,0.57634,1.44092,0.59528,1.37918,0.000416,0.000416,0.000416
50,7470.24,1.37937,0.60569,1.30788,0.92051,0.89912,0.94849,0.57616,1.4357,0.59127,1.37937,0.000383,0.000383,0.000383
51,7609.93,1.38049,0.58371,1.33591,0.92316,0.90115,0.95057,0.57775,1.43788,0.5814,1.3735,0.00035,0.00035,0.00035
52,7752.26,1.3632,0.57432,1.31569,0.91846,0.903,0.95066,0.57782,1.43712,0.5847,1.37486,0.000317,0.000317,0.000317
53,7893.35,1.36523,0.57621,1.32274,0.91893,0.90075,0.94887,0.57748,1.43528,0.58602,1.3668,0.000284,0.000284,0.000284
54,8033.82,1.35301,0.56897,1.3124,0.92236,0.90003,0.95017,0.58034,1.42791,0.5827,1.36861,0.000251,0.000251,0.000251
55,8173.21,1.34597,0.56529,1.31234,0.92141,0.89994,0.94959,0.58027,1.42588,0.58409,1.37262,0.000218,0.000218,0.000218
56,8312.21,1.34087,0.56126,1.3071,0.9201,0.90118,0.94986,0.58071,1.42602,0.58132,1.3686,0.000185,0.000185,0.000185
57,8450.77,1.33842,0.56008,1.30748,0.92464,0.89742,0.95027,0.57912,1.43513,0.57785,1.37374,0.000152,0.000152,0.000152
58,8589.23,1.33272,0.5551,1.30415,0.92362,0.89957,0.94991,0.58106,1.42913,0.57446,1.37336,0.000119,0.000119,0.000119
59,8728.17,1.3241,0.54551,1.29961,0.92263,0.89981,0.94953,0.58113,1.42854,0.5747,1.37295,8.6e-05,8.6e-05,8.6e-05
60,8867.58,1.32394,0.54784,1.29793,0.92302,0.90004,0.94987,0.58112,1.42933,0.57285,1.37182,5.3e-05,5.3e-05,5.3e-05
