epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.154,1.73105,1.08891,1.47996,0.85047,0.80139,0.86905,0.45236,1.67001,1.05127,1.48819,0.000665208,0.000665208,0.000665208
2,289.596,1.68435,0.94092,1.45864,0.83986,0.78192,0.85553,0.44695,1.61904,0.97669,1.47415,0.0013099,0.0013099,0.0013099
3,433.187,1.6656,0.91773,1.45264,0.85236,0.77105,0.85523,0.46448,1.6046,0.9804,1.47373,0.00193259,0.00193259,0.00193259
4,576.323,1.65202,0.90112,1.44488,0.88645,0.84923,0.91109,0.5025,1.5466,1.25798,1.41946,0.001901,0.001901,0.001901
5,719.244,1.61257,0.84851,1.41589,0.8706,0.84119,0.90419,0.49501,1.55288,1.32284,1.42716,0.001868,0.001868,0.001868
6,862.413,1.58844,0.81196,1.40411,0.89232,0.85824,0.91761,0.514,1.53978,0.80226,1.41153,0.001835,0.001835,0.001835
7,1005.67,1.57541,0.80393,1.39391,0.9101,0.86097,0.92946,0.51666,1.53871,0.82383,1.39263,0.001802,0.001802,0.001802
8,1148.79,1.56523,0.79038,1.39147,0.90991,0.85297,0.92485,0.52758,1.50134,0.90118,1.4173,0.001769,0.001769,0.001769
9,1291.94,1.54483,0.77532,1.37305,0.90364,0.86357,0.92629,0.52275,1.53158,0.77226,1.40399,0.001736,0.001736,0.001736
10,1434.44,1.54679,0.77455,1.37874,0.91405,0.86939,0.93379,0.53921,1.48639,0.72633,1.38675,0.001703,0.001703,0.001703
11,1577.34,1.53319,0.75653,1.36989,0.90514,0.87071,0.93101,0.52594,1.51729,0.73908,1.40415,0.00167,0.00167,0.00167
12,1720.15,1.52852,0.75325,1.36641,0.91059,0.87982,0.93655,0.54129,1.4909,0.73842,1.38534,0.001637,0.001637,0.001637
13,1864.16,1.52732,0.75002,1.37201,0.90119,0.87694,0.93233,0.53552,1.49862,0.81089,1.3829,0.001604,0.001604,0.001604
14,2007.41,1.51371,0.73648,1.35042,0.91669,0.88048,0.93936,0.54856,1.46105,0.716,1.36885,0.001571,0.001571,0.001571
15,2150.53,1.51151,0.73064,1.35708,0.91284,0.88578,0.93881,0.54154,1.49169,0.87035,1.37184,0.001538,0.001538,0.001538
16,2294.3,1.49337,0.71814,1.34766,0.91337,0.8819,0.94,0.54357,1.47451,0.7072,1.37417,0.001505,0.001505,0.001505
17,2437.54,1.50376,0.72461,1.35379,0.90494,0.87552,0.93299,0.53548,1.49712,0.69291,1.39515,0.001472,0.001472,0.001472
18,2580.64,1.49014,0.71338,1.34342,0.91706,0.88616,0.94302,0.54842,1.47015,0.67269,1.37031,0.001439,0.001439,0.001439
19,2724.25,1.48448,0.71149,1.34557,0.9159,0.89001,0.9439,0.55358,1.46216,0.67622,1.36882,0.001406,0.001406,0.001406
20,2867.9,1.48517,0.70778,1.35128,0.91468,0.88799,0.94309,0.55183,1.46594,0.67233,1.37905,0.001373,0.001373,0.001373
21,3010.37,1.47969,0.70544,1.35083,0.91284,0.89094,0.94285,0.54642,1.4833,0.6686,1.38458,0.00134,0.00134,0.00134
22,3153.89,1.47553,0.70011,1.34724,0.91946,0.8938,0.94584,0.5567,1.44788,0.65361,1.37002,0.001307,0.001307,0.001307
23,3298.23,1.47532,0.6961,1.34653,0.9188,0.89392,0.94553,0.55609,1.45653,0.64087,1.36646,0.001274,0.001274,0.001274
24,3440.73,1.45669,0.68368,1.33523,0.92157,0.89478,0.94756,0.56298,1.44293,0.66086,1.35917,0.001241,0.001241,0.001241
25,3584.39,1.45923,0.68454,1.3373,0.92153,0.89013,0.94545,0.55969,1.44443,0.63762,1.36682,0.001208,0.001208,0.001208
26,3727.04,1.45406,0.6795,1.33379,0.91939,0.89191,0.94621,0.5562,1.45355,0.64121,1.35731,0.001175,0.001175,0.001175
27,3869.61,1.45017,0.67278,1.32442,0.92116,0.89583,0.94687,0.56035,1.44037,0.61679,1.36316,0.001142,0.001142,0.001142
28,4012.16,1.44882,0.67005,1.32513,0.92446,0.89382,0.94841,0.56398,1.44745,0.61677,1.36647,0.001109,0.001109,0.001109
29,4155.54,1.44647,0.66652,1.33029,0.92509,0.89636,0.94809,0.56193,1.43618,0.62492,1.35908,0.001076,0.001076,0.001076
