epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6127.26,1.40189,0.62361,1.31699,0.92237,0.90262,0.95237,0.57833,1.41731,0.57922,1.36233,0.000614,0.000614,0.000614
44,6270.11,1.39286,0.62071,1.31283,0.91806,0.89995,0.9507,0.57364,1.42826,0.5864,1.37082,0.000581,0.000581,0.000581
45,6412.74,1.39083,0.62152,1.30841,0.92229,0.89943,0.95,0.57487,1.42173,0.58139,1.37298,0.000548,0.000548,0.000548
46,6554.43,1.39349,0.62017,1.3156,0.92538,0.90328,0.95347,0.58149,1.41029,0.57529,1.36566,0.000515,0.000515,0.000515
47,6697.04,1.38443,0.61252,1.31148,0.92372,0.90121,0.95161,0.57979,1.42008,0.56644,1.37111,0.000482,0.000482,0.000482
48,6839.05,1.38731,0.61172,1.30913,0.92463,0.90365,0.95263,0.5793,1.42191,0.56758,1.36864,0.000449,0.000449,0.000449
49,6981.18,1.37816,0.6037,1.30003,0.9227,0.90246,0.95212,0.5772,1.42084,0.57118,1.36666,0.000416,0.000416,0.000416
50,7122.77,1.36622,0.59867,1.29583,0.92005,0.90367,0.95071,0.57588,1.42829,0.57017,1.37516,0.000383,0.000383,0.000383
51,7262.43,1.37555,0.58933,1.32725,0.92739,0.90259,0.95178,0.58333,1.40686,0.56546,1.35972,0.00035,0.00035,0.00035
52,7402.29,1.36692,0.5785,1.32575,0.92486,0.90581,0.95318,0.58352,1.40876,0.56267,1.35942,0.000317,0.000317,0.000317
53,7542.58,1.36061,0.57321,1.31931,0.92599,0.90678,0.95398,0.58655,1.40649,0.55405,1.35318,0.000284,0.000284,0.000284
54,7682.44,1.35493,0.56801,1.31632,0.92475,0.90519,0.95333,0.58608,1.40172,0.55865,1.35676,0.000251,0.000251,0.000251
55,7821.59,1.35627,0.56761,1.32021,0.9278,0.90636,0.95434,0.58719,1.4017,0.55215,1.35203,0.000218,0.000218,0.000218
56,7961.78,1.3471,0.56275,1.31273,0.92619,0.90527,0.95353,0.58676,1.40498,0.55349,1.35189,0.000185,0.000185,0.000185
57,8101.06,1.33521,0.55624,1.30688,0.92732,0.90588,0.95357,0.58709,1.40328,0.55155,1.35513,0.000152,0.000152,0.000152
58,8241.36,1.33509,0.5542,1.30618,0.92823,0.90311,0.95341,0.58758,1.40172,0.55219,1.35426,0.000119,0.000119,0.000119
59,8380.81,1.32995,0.55238,1.30355,0.92674,0.90428,0.95322,0.58876,1.39711,0.55305,1.35024,8.6e-05,8.6e-05,8.6e-05
60,8520.07,1.32578,0.54602,1.29804,0.92525,0.90679,0.95284,0.58772,1.40009,0.55059,1.35885,5.3e-05,5.3e-05,5.3e-05
