epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.802,1.74101,1.08884,1.47799,0.84878,0.76298,0.83537,0.4038,1.82881,0.97263,1.58487,0.000665208,0.000665208,0.000665208
2,288.849,1.68938,0.94162,1.45984,0.85817,0.79768,0.87629,0.46176,1.67341,0.89519,1.49382,0.0013099,0.0013099,0.0013099
3,432.552,1.67239,0.92637,1.45256,0.88385,0.81235,0.89139,0.47798,1.64402,0.84343,1.46429,0.00193259,0.00193259,0.00193259
4,575.453,1.65502,0.89499,1.44049,0.85505,0.82702,0.88044,0.47761,1.5808,0.85439,1.42817,0.001901,0.001901,0.001901
5,718.312,1.61442,0.8646,1.41855,0.86569,0.80616,0.88643,0.47592,1.62697,0.83316,1.45262,0.001868,0.001868,0.001868
6,860.541,1.60255,0.82711,1.41695,0.90178,0.86591,0.92713,0.52818,1.51091,0.75528,1.38752,0.001835,0.001835,0.001835
7,1003.72,1.58747,0.81518,1.40687,0.8687,0.8487,0.90749,0.50038,1.5644,0.80807,1.43055,0.001802,0.001802,0.001802
8,1145.94,1.56286,0.79245,1.3895,0.90869,0.87194,0.93232,0.53782,1.50647,0.70456,1.38973,0.001769,0.001769,0.001769
9,1288.35,1.55695,0.78303,1.37921,0.91098,0.87255,0.93499,0.54165,1.48974,0.69758,1.38165,0.001736,0.001736,0.001736
10,1431.11,1.56193,0.77874,1.3861,0.90808,0.87404,0.93111,0.54101,1.5064,0.6848,1.38625,0.001703,0.001703,0.001703
11,1572.56,1.5418,0.76657,1.37601,0.90944,0.87804,0.93507,0.53535,1.52364,0.68897,1.40418,0.00167,0.00167,0.00167
12,1715.25,1.5387,0.76078,1.37523,0.91603,0.87886,0.93875,0.554,1.47004,0.65566,1.35809,0.001637,0.001637,0.001637
13,1857.75,1.52592,0.74816,1.36321,0.91923,0.88064,0.94075,0.55195,1.47945,0.66676,1.37319,0.001604,0.001604,0.001604
14,1998.93,1.53706,0.75111,1.36773,0.90692,0.88212,0.93918,0.54879,1.46524,0.69062,1.36087,0.001571,0.001571,0.001571
15,2141.12,1.51663,0.74239,1.3608,0.91637,0.87654,0.93904,0.552,1.47052,0.68571,1.38183,0.001538,0.001538,0.001538
16,2283.71,1.50837,0.73088,1.35998,0.9135,0.87918,0.93894,0.55262,1.4721,0.6538,1.37216,0.001505,0.001505,0.001505
17,2425.14,1.49856,0.7216,1.35487,0.92053,0.88722,0.94368,0.55983,1.45839,0.64783,1.37046,0.001472,0.001472,0.001472
18,2568.04,1.49742,0.72104,1.35266,0.91493,0.8902,0.94415,0.55994,1.45289,0.65383,1.35327,0.001439,0.001439,0.001439
19,2710.98,1.49342,0.71369,1.34775,0.91935,0.89338,0.94654,0.565,1.4475,0.6324,1.35317,0.001406,0.001406,0.001406
20,2854.13,1.48669,0.71107,1.35323,0.91883,0.89589,0.94636,0.56795,1.44554,0.61765,1.36844,0.001373,0.001373,0.001373
21,2996.84,1.49131,0.70707,1.35496,0.91927,0.88931,0.94563,0.56174,1.46219,0.62877,1.36177,0.00134,0.00134,0.00134
22,3139.35,1.47063,0.70175,1.34396,0.92212,0.89161,0.94709,0.57172,1.43324,0.61771,1.35758,0.001307,0.001307,0.001307
23,3281.89,1.47384,0.69296,1.35086,0.92124,0.88644,0.94459,0.5688,1.43075,0.63919,1.36131,0.001274,0.001274,0.001274
24,3423.83,1.47178,0.69353,1.34614,0.91913,0.89653,0.94768,0.56848,1.44216,0.6269,1.34975,0.001241,0.001241,0.001241
25,3565.17,1.46503,0.6848,1.33845,0.92263,0.89775,0.94918,0.56925,1.43875,0.60125,1.35069,0.001208,0.001208,0.001208
26,3706.9,1.45743,0.68235,1.33575,0.91866,0.89742,0.94738,0.56703,1.44219,0.62345,1.35697,0.001175,0.001175,0.001175
27,3849.43,1.46284,0.68201,1.33747,0.92401,0.89182,0.94744,0.56997,1.43189,0.62679,1.3729,0.001142,0.001142,0.001142
28,3991.34,1.45444,0.68182,1.33669,0.91765,0.89444,0.94621,0.57312,1.41934,0.6269,1.35484,0.001109,0.001109,0.001109
29,4133.29,1.45875,0.67864,1.34013,0.91485,0.89619,0.94679,0.56722,1.44057,0.6388,1.3638,0.001076,0.001076,0.001076
30,4275.4,1.44736,0.67247,1.33416,0.91906,0.89735,0.94849,0.56789,1.44015,0.61119,1.36917,0.001043,0.001043,0.001043
31,4416.72,1.45244,0.67385,1.34046,0.91874,0.89901,0.94946,0.57493,1.41825,0.61621,1.35095,0.00101,0.00101,0.00101
32,4558.85,1.44808,0.66162,1.3295,0.91714,0.89657,0.94825,0.5696,1.43505,0.61983,1.36721,0.000977,0.000977,0.000977
33,4700.95,1.44629,0.66684,1.33648,0.91628,0.89921,0.9493,0.57811,1.40784,0.60921,1.35571,0.000944,0.000944,0.000944
34,4843.1,1.43514,0.6553,1.32988,0.91557,0.89782,0.94872,0.57424,1.42196,0.60492,1.35174,0.000911,0.000911,0.000911
35,4984.6,1.43803,0.65504,1.33238,0.92328,0.90187,0.95142,0.57663,1.42281,0.5979,1.36865,0.000878,0.000878,0.000878
36,5126.76,1.429,0.64873,1.3259,0.92189,0.90138,0.95162,0.5808,1.40578,0.59089,1.34791,0.000845,0.000845,0.000845
37,5269.33,1.43264,0.65479,1.3297,0.92059,0.89874,0.94993,0.57845,1.41488,0.5955,1.35088,0.000812,0.000812,0.000812
38,5411.2,1.41647,0.6432,1.32207,0.92083,0.90076,0.95036,0.57935,1.4143,0.58705,1.35827,0.000779,0.000779,0.000779
39,5553.33,1.42278,0.64119,1.32728,0.92352,0.9025,0.95174,0.58201,1.40363,0.58253,1.34122,0.000746,0.000746,0.000746
40,5694.84,1.41769,0.6398,1.32073,0.91975,0.90624,0.95171,0.58214,1.40873,0.58891,1.34985,0.000713,0.000713,0.000713
41,5837.64,1.40193,0.63036,1.30926,0.91959,0.90314,0.95153,0.58239,1.40433,0.58485,1.35726,0.00068,0.00068,0.00068
42,5980.74,1.4047,0.62916,1.31681,0.92153,0.90125,0.95115,0.58163,1.40133,0.58061,1.35605,0.000647,0.000647,0.000647
43,6122.67,1.41285,0.63131,1.31613,0.92231,0.90335,0.95254,0.58337,1.40647,0.57355,1.35302,0.000614,0.000614,0.000614
44,6264.57,1.40464,0.62638,1.31464,0.92428,0.9042,0.95237,0.58508,1.40221,0.57429,1.34479,0.000581,0.000581,0.000581
45,6406.92,1.39261,0.62183,1.30808,0.92501,0.90013,0.95245,0.58269,1.40083,0.5797,1.359,0.000548,0.000548,0.000548
46,6548.03,1.39553,0.61931,1.31181,0.9213,0.90067,0.95062,0.57901,1.4124,0.58301,1.37477,0.000515,0.000515,0.000515
47,6689.74,1.38948,0.61708,1.30526,0.92133,0.90502,0.95188,0.58444,1.40076,0.57966,1.35837,0.000482,0.000482,0.000482
48,6830.63,1.37967,0.61256,1.30294,0.92524,0.90264,0.95198,0.58612,1.39489,0.56999,1.35068,0.000449,0.000449,0.000449
49,6973.16,1.37616,0.60793,1.29873,0.92386,0.90478,0.95276,0.58403,1.40562,0.57094,1.35636,0.000416,0.000416,0.000416
50,7115.3,1.3722,0.60474,1.30125,0.92419,0.90615,0.95304,0.58765,1.39534,0.5656,1.35914,0.000383,0.000383,0.000383
51,7255.28,1.38289,0.5908,1.33869,0.92255,0.9055,0.95268,0.58729,1.39393,0.56973,1.36858,0.00035,0.00035,0.00035
52,7394.03,1.37276,0.58141,1.33101,0.92778,0.90657,0.95421,0.58964,1.38971,0.55956,1.35051,0.000317,0.000317,0.000317
53,7532.87,1.36167,0.57337,1.32193,0.92713,0.90566,0.95409,0.59039,1.39256,0.55694,1.35729,0.000284,0.000284,0.000284
54,7672.73,1.35566,0.57283,1.3249,0.92366,0.90518,0.9539,0.58966,1.39301,0.55864,1.36561,0.000251,0.000251,0.000251
55,7811.79,1.35086,0.57113,1.32751,0.9253,0.90724,0.95444,0.59177,1.39028,0.55429,1.36627,0.000218,0.000218,0.000218
56,7951.46,1.35276,0.56597,1.32222,0.92872,0.90457,0.95444,0.59034,1.38945,0.55454,1.3624,0.000185,0.000185,0.000185
